tournament,edition,source_year,round,slot,date,home_team,away_team,home_score,away_score,actual_advancer,parent_left,parent_right
UEFA Euro,2020,2021,R16,R16_8,2021-06-29,Sweden,Ukraine,1,2,Ukraine,,
UEFA Euro,2020,2021,QF,QF_1,2021-07-02,Switzerland,Spain,1,1,Spain,R16_6,R16_5
UEFA Euro,2020,2021,QF,QF_2,2021-07-02,Belgium,Italy,1,2,Italy,R16_4,R16_2
UEFA Euro,2020,2021,QF,QF_3,2021-07-03,Czech Republic,Denmark,1,2,Denmark,R16_3,R16_1
UEFA Euro,2020,2021,QF,QF_4,2021-07-03,Ukraine,England,0,4,England,R16_8,R16_7
UEFA Euro,2020,2021,SF,SF_1,2021-07-06,Italy,Spain,1,1,Italy,QF_2,QF_1
UEFA Euro,2020,2021,SF,SF_2,2021-07-07,England,Denmark,2,1,England,QF_4,QF_3
UEFA Euro,2020,2021,F,F_1,2021-07-11,England,Italy,1,1,Italy,SF_2,SF_1
UEFA Euro,2016,2016,R16,R16_1,2016-06-25,Switzerland,Poland,1,1,Poland,,
UEFA Euro,2016,2016,R16,R16_2,2016-06-25,Croatia,Portugal,0,1,Portugal,,
UEFA Euro,2016,2016,R16,R16_3,2016-06-25,Wales,Northern Ireland,1,0,Wales,,
UEFA Euro,2016,2016,R16,R16_4,2016-06-26,Hungary,Belgium,0,4,Belgium,,
UEFA Euro,2016,2016,R16,R16_5,2016-06-26,Germany,Slovakia,3,0,Germany,,
UEFA Euro,2016,2016,R16,R16_6,2016-06-27,Italy,Spain,2,0,Italy,,
UEFA Euro,2016,2016,R16,R16_7,2016-06-26,France,Republic of Ireland,2,1,France,,
UEFA Euro,2016,2016,R16,R16_8,2016-06-27,England,Iceland,1,2,Iceland,,
UEFA Euro,2016,2016,QF,QF_1,2016-06-30,Poland,Portugal,1,1,Portugal,R16_1,R16_2
UEFA Euro,2016,2016,QF,QF_2,2016-07-01,Wales,Belgium,3,1,Wales,R16_3,R16_4
UEFA Euro,2016,2016,QF,QF_3,2016-07-02,Germany,Italy,1,1,Germany,R16_5,R16_6
UEFA Euro,2016,2016,QF,QF_4,2016-07-03,France,Iceland,5,2,France,R16_7,R16_8
UEFA Euro,2016,2016,SF,SF_1,2016-07-06,Portugal,Wales,2,0,Portugal,QF_1,QF_2
UEFA Euro,2016,2016,SF,SF_2,2016-07-07,France,Germany,2,0,France,QF_4,QF_3
UEFA Euro,2016,2016,F,F_1,2016-07-10,France,Portugal,0,1,Portugal,SF_2,SF_1
UEFA Euro,2024,2024,R16,R16_1,2024-06-29,Switzerland,Italy,2,0,Switzerland,,
UEFA Euro,2024,2024,R16,R16_2,2024-06-29,Germany,Denmark,2,0,Germany,,
UEFA Euro,2024,2024,R16,R16_3,2024-06-30,England,Slovakia,2,1,England,,
UEFA Euro,2024,2024,R16,R16_4,2024-06-30,Spain,Georgia,4,1,Spain,,
UEFA Euro,2024,2024,R16,R16_5,2024-07-01,France,Belgium,1,0,France,,
UEFA Euro,2024,2024,R16,R16_6,2024-07-01,Portugal,Slovenia,0,0,Portugal,,
UEFA Euro,2024,2024,R16,R16_7,2024-07-02,Romania,Netherlands,0,3,Netherlands,,
UEFA Euro,2024,2024,R16,R16_8,2024-07-02,Austria,Turkey,1,2,Turkey,,
UEFA Euro,2024,2024,QF,QF_1,2024-07-05,Germany,Spain,1,2,Spain,R16_2,R16_4
UEFA Euro,2024,2024,QF,QF_2,2024-07-05,Portugal,France,0,0,France,R16_6,R16_5
UEFA Euro,2024,2024,QF,QF_3,2024-07-06,England,Switzerland,1,1,England,R16_3,R16_1
UEFA Euro,2024,2024,QF,QF_4,2024-07-06,Netherlands,Turkey,2,1,Netherlands,R16_7,R16_8
UEFA Euro,2024,2024,SF,SF_1,2024-07-09,Spain,France,2,1,Spain,QF_1,QF_2
UEFA Euro,2024,2024,SF,SF_2,2024-07-10,Netherlands,England,1,2,England,QF_4,QF_3
UEFA Euro,2024,2024,F,F_1,2024-07-14,Spain,England,2,1,Spain,SF_1,SF_2
