match_no,winner_slot,groups
74,1E,A/B/C/D/F
77,1I,C/D/F/G/H
79,1A,C/E/F/H/I
80,1L,E/H/I/J/K
81,1D,B/E/F/I/J
82,1G,A/E/H/I/J
85,1B,E/F/G/I/J
87,1K,D/E/I/J/L
