as_of,method,match_no,confirmed_fixture,predicted_fixture,correct_fixture,correct_display_order,confirmed_teams_in_this_slot,missing_confirmed_teams,extra_predicted_teams,confirmed_fixture_predicted_in_slot
2026-06-14,modal-group-table,85,Switzerland v Algeria,Switzerland v Iran,no,no,1,Algeria,Iran,-
2026-06-14,modal-group-table,86,Argentina v Cape Verde,Argentina v Spain,no,no,1,Cape Verde,Spain,-
2026-06-14,modal-group-table,87,Colombia v Ghana,Colombia v Ecuador,no,no,1,Ghana,Ecuador,-
2026-06-14,modal-group-table,88,Australia v Egypt,Australia v New Zealand,no,no,1,Egypt,New Zealand,-
2026-06-15,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-15,expected-table,74,Germany v Paraguay,Germany v Bosnia and Herzegovina,no,no,1,Paraguay,Bosnia and Herzegovina,-
2026-06-15,expected-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-15,expected-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-15,expected-table,77,France v Sweden,France v Scotland,no,no,1,Sweden,Scotland,-
2026-06-15,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-15,expected-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-15,expected-table,80,England v DR Congo,England v Senegal,no,no,1,DR Congo,Senegal,-
2026-06-15,expected-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-15,expected-table,82,Belgium v Senegal,Belgium v Algeria,no,no,1,Senegal,Algeria,-
2026-06-15,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-15,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-15,expected-table,85,Switzerland v Algeria,Canada v Egypt,no,no,0,"Algeria, Switzerland","Canada, Egypt",-
2026-06-15,expected-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-15,expected-table,87,Colombia v Ghana,Colombia v Panama,no,no,1,Ghana,Panama,-
2026-06-15,expected-table,88,Australia v Egypt,Australia v Iran,no,no,1,Egypt,Iran,-
2026-06-15,modal-group-table,73,South Africa v Canada,South Korea v Canada,no,no,1,South Africa,South Korea,-
2026-06-15,modal-group-table,74,Germany v Paraguay,Germany v Paraguay,yes,yes,2,-,-,-
2026-06-15,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-15,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-15,modal-group-table,77,France v Sweden,Norway v Scotland,no,no,0,"France, Sweden","Norway, Scotland",-
2026-06-15,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v France,no,no,1,Norway,France,-
2026-06-15,modal-group-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-15,modal-group-table,80,England v DR Congo,England v Uzbekistan,no,no,1,DR Congo,Uzbekistan,-
2026-06-15,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-15,modal-group-table,82,Belgium v Senegal,Belgium v Czechia,no,no,1,Senegal,Czechia,-
2026-06-15,modal-group-table,83,Portugal v Croatia,Colombia v Croatia,no,no,1,Portugal,Colombia,-
2026-06-15,modal-group-table,84,Spain v Austria,Spain v Algeria,no,no,1,Austria,Algeria,-
2026-06-15,modal-group-table,85,Switzerland v Algeria,Switzerland v Austria,no,no,1,Algeria,Austria,-
2026-06-15,modal-group-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-15,modal-group-table,87,Colombia v Ghana,Portugal v Panama,no,no,0,"Colombia, Ghana","Panama, Portugal",-
2026-06-15,modal-group-table,88,Australia v Egypt,Australia v Egypt,yes,yes,2,-,-,-
2026-06-16,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-16,expected-table,74,Germany v Paraguay,Germany v Bosnia and Herzegovina,no,no,1,Paraguay,Bosnia and Herzegovina,-
2026-06-16,expected-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-16,expected-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-16,expected-table,77,France v Sweden,France v Scotland,no,no,1,Sweden,Scotland,-
2026-06-16,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-16,expected-table,79,Mexico v Ecuador,Mexico v Senegal,no,no,1,Ecuador,Senegal,-
2026-06-16,expected-table,80,England v DR Congo,England v Uzbekistan,no,no,1,DR Congo,Uzbekistan,-
2026-06-16,expected-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-16,expected-table,82,Belgium v Senegal,Belgium v Ecuador,no,no,1,Senegal,Ecuador,-
2026-06-16,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-16,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-16,expected-table,85,Switzerland v Algeria,Canada v Egypt,no,no,0,"Algeria, Switzerland","Canada, Egypt",-
2026-06-16,expected-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-16,expected-table,87,Colombia v Ghana,Colombia v Panama,no,no,1,Ghana,Panama,-
2026-06-16,expected-table,88,Australia v Egypt,Australia v Iran,no,no,1,Egypt,Iran,-
2026-06-16,modal-group-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-16,modal-group-table,74,Germany v Paraguay,Germany v Bosnia and Herzegovina,no,no,1,Paraguay,Bosnia and Herzegovina,-
2026-06-16,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-16,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-16,modal-group-table,77,France v Sweden,France v Paraguay,no,no,1,Sweden,Paraguay,-
2026-06-16,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-16,modal-group-table,79,Mexico v Ecuador,Mexico v Scotland,no,no,1,Ecuador,Scotland,-
2026-06-16,modal-group-table,80,England v DR Congo,England v Uzbekistan,no,no,1,DR Congo,Uzbekistan,-
2026-06-16,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-16,modal-group-table,82,Belgium v Senegal,Belgium v Czechia,no,no,1,Senegal,Czechia,-
2026-06-16,modal-group-table,83,Portugal v Croatia,Colombia v Croatia,no,no,1,Portugal,Colombia,-
2026-06-16,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-16,modal-group-table,85,Switzerland v Algeria,Canada v Ecuador,no,no,0,"Algeria, Switzerland","Canada, Ecuador",-
2026-06-16,modal-group-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-16,modal-group-table,87,Colombia v Ghana,Portugal v Panama,no,no,0,"Colombia, Ghana","Panama, Portugal",-
2026-06-16,modal-group-table,88,Australia v Egypt,Australia v Egypt,yes,yes,2,-,-,-
2026-06-17,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-17,expected-table,74,Germany v Paraguay,Germany v Bosnia and Herzegovina,no,no,1,Paraguay,Bosnia and Herzegovina,-
2026-06-17,expected-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-17,expected-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-17,expected-table,77,France v Sweden,France v Scotland,no,no,1,Sweden,Scotland,-
2026-06-17,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-17,expected-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-17,expected-table,80,England v DR Congo,England v Senegal,no,no,1,DR Congo,Senegal,-
2026-06-17,expected-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-17,expected-table,82,Belgium v Senegal,Belgium v Algeria,no,no,1,Senegal,Algeria,-
2026-06-17,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-17,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-17,expected-table,85,Switzerland v Algeria,Canada v Egypt,no,no,0,"Algeria, Switzerland","Canada, Egypt",-
2026-06-17,expected-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-17,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-17,expected-table,88,Australia v Egypt,Australia v Iran,no,no,1,Egypt,Iran,-
2026-06-17,modal-group-table,73,South Africa v Canada,South Korea v Canada,no,no,1,South Africa,South Korea,-
2026-06-17,modal-group-table,74,Germany v Paraguay,Germany v Bosnia and Herzegovina,no,no,1,Paraguay,Bosnia and Herzegovina,-
2026-06-17,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-17,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-17,modal-group-table,77,France v Sweden,France v Scotland,no,no,1,Sweden,Scotland,-
2026-06-17,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
